Sentence,Emotion,Tokenized_Sentence,tokens_length
rồi khi mày có 1 ít tiền cười mày mới phát hiện ra còn đéo cả có người đi cùng cơ,Sadness,"['mày', '1', 'ít', 'tiền', 'cười', 'mày', 'mới', 'phát hiện', 'còn', 'đéo', 'cả', 'người', 'cùng', 'cơ']",14
đù . bọn nuôi chó mà ve còn không bắt được cho nó thì đừng nên nuôi . bực,Anger,"['đù', 'bọn', 'nuôi', 'chó', 've', 'còn', 'không', 'bắt', 'nó', 'đừng', 'nuôi', 'bực']",12
ê sao biết hay vậy cười,Surprise,"['ê sao', 'biết', 'hay', 'cười']",4
ly hôn kiểu này thì không cần tới bước cuối cùng . chỉ cần tới bước tính xem trả lại tiền mừng là tao bỏ ngay ý định ly hôn luôn rồi . không,Enjoyment,"['ly hôn', 'kiểu', 'không', 'cần', 'tới', 'bước', 'cuối cùng', 'chỉ', 'cần', 'tới', 'bước', 'tính', 'xem', 'trả', 'tiền', 'mừng', 'tao', 'bỏ', 'ngay', 'ý định', 'ly hôn', 'luôn', 'không']",23
"hy vọng cơ quan điều tra làm rõ được danh tính người phụ nữ , chỉ vì cái miệng mà làm tan nát cả 1 gia đình",Disgust,"['hy vọng', 'cơ quan', 'điều tra', 'làm', 'rõ', 'danh tính', 'người', 'phụ nữ', 'chỉ', 'cái', 'miệng', 'làm', 'tan nát', 'cả', '1', 'gia đình']",16
chỉ thấy phối nhạc hay thôi chứ lời tao cảm thấy nghe không có nghĩa lí gì luôn bình_thản,Other,"['chỉ', 'thấy', 'phối nhạc', 'hay', 'chứ', 'lời', 'tao', 'cảm thấy', 'nghe', 'không', 'nghĩa lí', 'gì', 'luôn', 'bình_thản']",14
không phải crush đùa nhưng mà nhìn ổng cười mỉm nhìn cute vãi chán vô_cảm cười_toe_toét,Enjoyment,"['không', 'phải', 'crush đùa', 'nhưng mà', 'nhìn', 'ổng', 'cười', 'mỉm', 'nhìn', 'cute vãi', 'chán', 'vô_cảm', 'cười_toe_toét']",13
ra mắt ba mẹ người yêu đúng run,Fear,"['ra mắt', 'ba mẹ', 'người yêu', 'đúng', 'run']",5
"kệ mẹ nó , giận được bao nhiêu thì giận . cắm sừng thì tao tiễn vong luôn",Disgust,"['kệ', 'mẹ', 'nó', 'giận', 'bao nhiêu', 'giận', 'cắm', 'sừng', 'tao', 'tiễn vong', 'luôn']",11
huhu thế nên mới ước mơ có chiếc xe ô tô xe máy nhiều tai nạn giao thông quá,Sadness,"['huhu', 'thế', 'mới', 'ước mơ', 'chiếc', 'xe', 'ô tô', 'xe máy', 'nhiều', 'tai nạn', 'giao thông']",11
thế bạn là cái gì mà người ta phải theo lời bạn nói rụt_rè,Anger,"['thế', 'bạn', 'cái', 'gì', 'người', 'ta', 'phải', 'theo', 'lời', 'bạn', 'nói', 'rụt_rè']",12
tội nghiệp quá,Sadness,['tội nghiệp'],1
cái giọng anh quay phim nghe ngọt quá hôn,Enjoyment,"['cái', 'giọng', 'anh', 'quay phim', 'nghe', 'ngọt', 'hôn']",7
thế mà cô yến bị phạt có 5 triệu đùa,Disgust,"['thế', 'cô', 'yến', 'phạt', '5', 'triệu', 'đùa']",7
mấy thanh niên ngu học theo ngôn tình thấy chai bé không viết hết được lại mua chai 1 . 8 lít thì hơi mệt đấy cười_chảy_nước_mắt cười_mỉm,Disgust,"['mấy', 'thanh niên', 'ngu học', 'theo', 'ngôn tình', 'thấy', 'chai', 'bé', 'không', 'viết', 'hết', 'mua', 'chai', '1', '8', 'lít', 'hơi', 'mệt', 'đấy', 'cười_chảy_nước_mắt', 'cười_mỉm']",21
tôi đang xem gì thế này cười,Surprise,"['tôi', 'xem', 'gì', 'thế này', 'cười']",5
"mình đang thất tình đéo hiểu sao đi cafe còn toàn tận cùng nỗi nhớ , chạm đáy nỗi đau , đừng như thói quen . dume cười",Sadness,"['mình', 'thất tình', 'đéo', 'hiểu', 'sao', 'cafe', 'còn', 'toàn', 'tận cùng', 'nỗi', 'nhớ', 'chạm', 'đáy', 'nỗi', 'đau', 'đừng', 'thói quen', 'dume', 'cười']",19
hồi sinh viên mình dùng cái này đó,Other,"['hồi', 'sinh viên', 'mình', 'dùng', 'cái']",5
không biết bắt đầu từ đâu luôn hôn_dịu_dàng,Sadness,"['không', 'biết', 'bắt đầu', 'từ', 'đâu', 'luôn', 'hôn_dịu_dàng']",7
"phim này nên xem và thuộc mấy đoạn thoại , rất hay",Enjoyment,"['phim', 'xem', 'thuộc', 'mấy', 'đoạn thoại', 'hay']",6
trông tội vãi,Sadness,"['trông', 'tội', 'vãi']",3
thề luôn anh ấy rất kĩ thuật luôn á,Enjoyment,"['thề', 'luôn', 'anh', 'ấy', 'kĩ thuật', 'luôn', 'á']",7
khổ thân em nó . ?,Sadness,"['khổ', 'thân', 'em', 'nó', '?']",5
mình thì mình chỉ mong chồng tốt thương yêu vợ con gia đình ! gia đình lúc nào cũng vui vẻ hạnh phúc thì ngày nào cũng là ngày tình yêu,Enjoyment,"['mình', 'mình', 'chỉ', 'mong', 'chồng', 'tốt', 'thương yêu', 'vợ con', 'gia đình', '!', 'gia đình', 'lúc nào', 'cũng', 'vui vẻ', 'hạnh phúc', 'ngày', 'nào', 'cũng', 'ngày', 'tình yêu']",20
"sau 1 thời còm men dạo khắp muôn nơi , cháu đã lên được fan cứng rất rất cứng cười_toe_toét",Enjoyment,"['sau', '1', 'thời', 'còm', 'men', 'dạo', 'khắp', 'muôn', 'nơi', 'cháu', 'lên', 'fan', 'cứng', 'cứng', 'cười_toe_toét']",15
em đã bao giờ nghĩ đến mối quan hệ đồng tính ?,Other,"['em', 'bao giờ', 'nghĩ', 'mối', 'quan hệ', 'đồng tính', '?']",7
t còn được nghỉ 1 tuần cười,Enjoyment,"['t', 'còn', 'nghỉ', '1', 'tuần', 'cười']",6
mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái,Disgust,"['mấy', 'thằng', 'người', 'ta', 'gọi là', 'mấy', 'thằng', 'nhà quê', 'năm', 'nào', 'còn', 'túm', '5', 'tụm', '3', 'trêu', 'gái']",17
per hả dạ ghê mày !,Enjoyment,"['per', 'hả dạ', 'ghê mày', '!']",4
bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm cười,Other,"['bài', 'tao', '2', 'cảm xúc', 'đầu tiên', 'về', 'quán', 'trà', 'cảm xúc', 'quen', 'c', 'thy', 'xong', 'mẹ', 'cấm', 'cười']",16
mày lấy sỏi xếp thành tên dume khôn như tao này .,Enjoyment,"['mày', 'lấy', 'sỏi', 'xếp', 'thành', 'tên', 'dume khôn', 'tao']",8
kìa mèo nhà tôi đấy chiến chưa minh huế,Other,"['kìa', 'mèo', 'nhà', 'tôi', 'đấy chiến', 'chưa', 'minh', 'huế']",8
bộ này hoàn hảo quá,Surprise,"['bộ', 'hoàn hảo']",2
thề dume c còn hết hồn nói chi đến khách cười sáng sớm ra mở cửa với tối đóng cửa thôi độ gan dạ cũng phải tăng lên mấy chân kính cười,Fear,"['thề', 'dume', 'c', 'còn', 'hết hồn', 'nói', 'chi', 'khách', 'cười', 'sáng', 'sớm', 'mở cửa', 'tối', 'đóng cửa', 'thôi độ', 'gan dạ', 'cũng', 'phải', 'tăng', 'lên', 'mấy', 'chân', 'kính', 'cười']",24
ngôn tình đầy rẫy là một cô gái sao em lại bỏ qua bao nhiêu mơ mộng,Enjoyment,"['ngôn tình', 'đầy rẫy', 'cô', 'gái', 'sao', 'em', 'bỏ qua', 'bao nhiêu', 'mơ', 'mộng']",10
per năm nay 2 đứa quyết định ngồi hay đứng không,Enjoyment,"['per', 'năm', 'nay', '2', 'đứa', 'quyết định', 'ngồi', 'hay', 'đứng', 'không']",10
thế khác gì chạy án,Surprise,"['thế', 'khác', 'gì', 'chạy án']",4
tụt quần không bỏ cuộc,Surprise,"['tụt', 'quần', 'không', 'bỏ cuộc']",4
em với anh bây giờ là tình anh em cười tình địch cười tình hận thành thù cười tình tính tan cười tình người duyên ma cười tình ai nấy giữ cười tình thất bồng lai hài_lòng tình thương hại hài_lòng tình hình này kể hoài không hết chứ làm gì có tình cảm tình yêu hay tình dục cười,Other,"['em', 'anh', 'bây giờ', 'tình', 'anh em', 'cười', 'tình địch', 'cười', 'tình hận', 'thành thù', 'cười tình tính', 'tan', 'cười', 'tình người', 'duyên ma', 'cười tình', 'ai nấy', 'giữ', 'cười', 'tình thất bồng', 'lai hài_lòng', 'tình thương hại', 'hài_lòng', 'tình hình', 'kể', 'hoài', 'không', 'hết', 'chứ', 'làm gì', 'tình cảm tình yêu', 'hay', 'tình dục', 'cười']",34
nếu nạn nhân đội mũ bảo hiểm có hàm thì khả năng tử vong thấp hơn,Other,"['nếu', 'nạn nhân', 'đội', 'mũ bảo hiểm', 'hàm', 'khả năng', 'tử vong', 'thấp', 'hơn']",9
"em đi xe đạp , có gửi bao giờ đâu mà biết bác ơi",Other,"['em', 'xe đạp', 'gửi', 'bao giờ', 'đâu', 'biết', 'bác', 'ơi']",8
mày là con bé gái bố mày là con lợn nhé . khi con nào còn mở mồm bảo chỉ theo bạn bỏ zai thì bị ăn vả thế đấy cười,Disgust,"['mày', 'con bé', 'gái', 'bố mày', 'con', 'lợn', 'nhé', 'con', 'nào', 'còn', 'mở', 'mồm', 'bảo', 'chỉ', 'theo', 'bạn', 'bỏ', 'zai', 'ăn vả', 'thế', 'đấy', 'cười']",22
dự định tao là 28 nhưng giờ mà có bồ là bắt cưới luôn chớ sợ ế haha,Enjoyment,"['dự định', 'tao', '28', 'nhưng', 'giờ', 'bồ', 'bắt', 'cưới', 'luôn', 'chớ', 'sợ', 'ế', 'haha']",13
giống tao . nhưng cô ấy có hiểu đâu,Sadness,"['giống', 'tao', 'nhưng', 'cô', 'ấy', 'hiểu', 'đâu']",7
quãng cáo cũng được đăng à,Surprise,"['quãng cáo', 'cũng', 'đăng', 'à']",4
cố ấy muốn khắc phục gen nhà ngoại hoặc có thể phá hủy gen nhà nội che_miệng,Enjoyment,"['cố', 'ấy', 'muốn', 'khắc phục', 'gen', 'nhà', 'ngoại', 'hoặc', 'có thể', 'phá hủy', 'gen', 'nhà', 'nội che_miệng']",13
quản_trị_viên cho hỏi nghệ an lúc nào mưa vậy ah . ốm cũng cam lòng chứ vã lắm rồi nóng_nực,Sadness,"['quản_trị_viên', 'hỏi', 'nghệ an', 'lúc nào', 'mưa', 'ah', 'ốm', 'cũng', 'cam lòng', 'chứ vã', 'lắm', 'nóng_nực']",12
thế này đã là sướng lắm rồi cười các b khoe biển toàn tiến với tứ ngũ quý vậy cười_chảy_nước_mắt,Enjoyment,"['thế này', 'sướng', 'lắm', 'cười', 'b', 'khoe', 'biển', 'toàn', 'tiến', 'tứ ngũ', 'quý', 'cười_chảy_nước_mắt']",12
hạnh phúc ghê,Enjoyment,"['hạnh phúc', 'ghê']",2
nguy hiểm,Fear,['nguy hiểm'],1
thằng chồng này cho mặc váy đi nha mẹ nó thùng bia nó mua 40 k uống được mà vợ nó ăn trái sầu 30 k nó nói này nói nọ,Anger,"['thằng', 'chồng', 'mặc', 'váy', 'nha', 'mẹ', 'nó', 'thùng', 'bia', 'nó', 'mua', '40', 'k', 'uống', 'vợ', 'nó', 'ăn', 'trái', 'sầu', '30', 'k', 'nó', 'nói', 'nói', 'nọ']",25
ê khiếp chưa mày ý thằng chồng là tiền nó nó thích thì nó mua không ai quản được còn tiền vợ nó cũng là tiền nó không đường mua,Anger,"['ê khiếp', 'chưa', 'mày ý', 'thằng', 'chồng', 'tiền', 'nó', 'nó', 'thích', 'nó', 'mua', 'không', 'ai', 'quản', 'còn', 'tiền', 'vợ', 'nó', 'cũng', 'tiền', 'nó', 'không', 'đường', 'mua']",24
độ thâm của bác phải gọi là bố của tàu,Disgust,"['độ', 'thâm', 'bác', 'phải', 'gọi', 'bố', 'tàu']",7
"má , dume cười ỉa cười",Enjoyment,"['má', 'dume', 'cười', 'ỉa', 'cười']",5
ngu thì chịu,Disgust,"['ngu', 'chịu']",2
"đã xấu còn ngáo , lại còn tham ăn nữa ?",Disgust,"['xấu', 'còn', 'ngáo', 'còn', 'tham ăn', '?']",6
lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah cười,Other,"['lần', 'sau', 'mình', 'như thế', 'để', 'đỡ', 'phải', 'cãi', 'nhau', 'nhiều', 'ah', 'cười']",12
riêng cái tội viết hoa tất tần tật tin nhắn với vợ là đủ cho ra chuồng gà rồi có quả sầu riêng không mua nổi cho vợ,Anger,"['riêng', 'cái', 'tội', 'viết', 'hoa', 'tất tần tật', 'tin', 'nhắn', 'vợ', 'đủ', 'chuồng', 'gà', 'quả', 'sầu riêng', 'không', 'mua', 'nổi', 'vợ']",18
mình làm nũng thì người ta nói mình trẻ con,Sadness,"['mình', 'làm', 'nũng', 'người', 'ta', 'nói', 'mình', 'trẻ con']",8
vui quá ta ơi .,Enjoyment,"['vui', 'ta', 'ơi']",3
lấy vợ xong béo quá rồi . hình như ai cũng v à mỉm_cười_ngược,Sadness,"['lấy', 'vợ', 'xong', 'béo', 'hình như', 'ai', 'cũng', 'v', 'à', 'mỉm_cười_ngược']",10
mẹ cái lũ thầu nấu ăn cho trẻ con . ai cũng bảo chúng mày nấu 1 năm có có hàng tỉ tiền . mẫu giáo còn hại được thì cấp 1 tha gì .,Anger,"['mẹ', 'cái', 'lũ thầu', 'nấu ăn', 'trẻ con', 'ai', 'cũng', 'bảo', 'chúng mày', 'nấu', '1', 'năm', 'hàng', 'tỉ', 'tiền', 'mẫu giáo', 'còn', 'hại', 'cấp', '1', 'tha', 'gì']",22
per cái đó là ngu chứ thích đéo gì,Disgust,"['per', 'cái', 'ngu', 'chứ', 'thích', 'đéo', 'gì']",7
bộ phim này xem rất sướng . và rút ra được khám phá là thứ tuyệt vời nhất chứ không phải bằng cấp . giá như mấy ông bộ và mấy ông ngành dành thời gian xem phim này một lần .,Enjoyment,"['bộ', 'phim', 'xem', 'sướng', 'rút', 'khám phá', 'thứ', 'tuyệt vời', 'nhất', 'chứ', 'không', 'phải', 'bằng cấp', 'giá', 'mấy', 'ông', 'bộ', 'mấy', 'ông', 'ngành', 'dành', 'thời gian', 'xem', 'phim', 'lần']",25
oi vãi cả lồn,Surprise,"['oi vãi', 'cả', 'lồn']",3
đẹp quá v say_mê,Enjoyment,"['đẹp', 'v', 'say_mê']",3
per trung thu chia tay gấu à ? bất hạnh nhỉ,Sadness,"['per', 'trung thu', 'chia tay', 'gấu', 'à', '?', 'bất hạnh', 'nhỉ']",8
biết giữ nguyên hiện trường chắc là không sao,Other,"['biết', 'giữ', 'nguyên', 'hiện trường', 'chắc', 'không', 'sao']",7
chuẩn,Enjoyment,['chuẩn'],1
mắt anh sáng dáng anh hiền tiền anh lắm án anh nhiều,Disgust,"['mắt', 'anh', 'sáng dáng', 'anh', 'hiền', 'tiền', 'anh', 'lắm', 'án', 'anh', 'nhiều']",11
t thề hồi nhỏ qua nhà ông hàng xóm vá xe tao bị con ngỗng dí chạy xúc quần quanh nhà ổng vừa chạy vừa la làng tới giờ nhớ lại vẫn còn hãi bàng_hoàng,Fear,"['t', 'thề', 'hồi', 'nhỏ', 'qua', 'nhà', 'ông', 'hàng xóm', 'vá', 'xe', 'tao', 'con', 'ngỗng', 'dí', 'chạy', 'xúc quần', 'quanh', 'nhà', 'ổng', 'vừa', 'chạy', 'vừa', 'la làng', 'tới', 'giờ', 'nhớ', 'vẫn', 'còn', 'hãi', 'bàng_hoàng']",30
per mày cũng có tình yêu từ nơi đây phải không ?,Other,"['per', 'mày', 'cũng', 'tình yêu', 'từ', 'nơi', 'đây', 'phải', 'không', '?']",10
lêu lêu đồ con nuôi,Disgust,"['lêu', 'lêu đồ', 'con nuôi']",3
chuẩn đét . t nghỉ công ty cũ cũng vì đồng nghiệp khóc_nức_nở,Sadness,"['chuẩn', 'đét', 't', 'nghỉ', 'công ty', 'cũ', 'cũng', 'đồng nghiệp', 'khóc_nức_nở']",9
do cái áo . mặc giống nhau làm đíu gì,Anger,"['do', 'cái', 'áo', 'mặc', 'giống', 'nhau', 'làm', 'đíu', 'gì']",9
tao cay mẹ khóe mắt,Sadness,"['tao', 'cay', 'mẹ', 'khóe', 'mắt']",5
per hèn gì thấy ngày nào anh cũng đi tập cười_chảy_nước_mắt,Other,"['per', 'hèn', 'gì', 'thấy', 'ngày', 'nào', 'anh', 'cũng', 'tập', 'cười_chảy_nước_mắt']",10
địt mẹ cho yêu với,Disgust,"['địt', 'mẹ', 'yêu']",3
cho khỏi đá ở việt nam . gì mà căng,Disgust,"['khỏi', 'đá', 'việt nam', 'gì', 'căng']",5
facebok chồng nó hiện gì vậy nè cười_chảy_nước_mắt,Enjoyment,"['facebok', 'chồng', 'nó', 'hiện', 'gì', 'nè', 'cười_chảy_nước_mắt']",7
bất ngờ thiệt cười,Surprise,"['bất ngờ', 'thiệt', 'cười']",3
có ai đéo hiểu gì như mình không mình trong sáng vãi he,Enjoyment,"['ai', 'đéo', 'hiểu', 'gì', 'mình', 'không', 'mình', 'trong sáng', 'vãi', 'he']",10
per chuyện cổ tích nè ! haha !,Enjoyment,"['per', 'chuyện', 'cổ tích', 'nè', '! haha', '!']",6
"ước gì bos không co chân lên , tao vẫn sẽ nghĩ là bos thật khí chất cười",Sadness,"['ước', 'gì', 'bos', 'không', 'co', 'chân', 'lên', 'tao', 'vẫn', 'nghĩ', 'bos', 'khí chất', 'cười']",13
huhu lần trước đi chụp răng . thằng kĩ thuật viện cho bạn vào cái máy to đùng xong nó bảo ngồi im . nó bật máy xong chạy ra ngoài đóng cửa với tốc độ ánh sáng .,Sadness,"['huhu', 'lần', 'trước', 'chụp', 'răng', 'thằng', 'kĩ thuật', 'viện', 'bạn', 'vào', 'cái', 'máy', 'to đùng', 'xong', 'nó', 'bảo', 'ngồi', 'im', 'nó', 'bật', 'máy', 'xong', 'chạy', 'ngoài', 'đóng cửa', 'tốc độ', 'ánh sáng']",27
đồng nghiệp nhắng nhít nhất hệ mặt trời cười,Enjoyment,"['đồng nghiệp', 'nhắng nhít', 'nhất hệ', 'mặt trời', 'cười']",5
loại hai lòng nó vậy đó ai nó cũng muốn thân thằng nào nó cũng muốn chơi ác,Disgust,"['loại', 'hai', 'lòng', 'nó', 'ai', 'nó', 'cũng', 'muốn', 'thân', 'thằng', 'nào', 'nó', 'cũng', 'muốn', 'chơi', 'ác']",16
chết rồi thì chôn . xử lý cái quái gì nữa .,Disgust,"['chết', 'chôn', 'xử lý', 'cái', 'quái', 'gì']",6
per bếp lò xo huyền thoại của ngoại hay nấu nè,Enjoyment,"['per', 'bếp', 'lò xo', 'huyền thoại', 'ngoại', 'hay', 'nấu', 'nè']",8
cái thứ súc vật,Disgust,"['cái', 'thứ', 'súc vật']",3
"đi hát văn nghệ cho trường nguyên cấp 1 , kiếm được kha khá . cấp 2 vỡ giọng , khỏi hát cười_lăn_lộn_trên_sàn",Enjoyment,"['hát', 'văn nghệ', 'trường', 'nguyên', 'cấp', '1', 'kiếm', 'kha khá', 'cấp', '2', 'vỡ', 'giọng', 'khỏi', 'hát', 'cười_lăn_lộn_trên_sàn']",15
"tui ở tuy hòa , phú yên mà chả nhận ra luôn .",Sadness,"['tui', 'tuy', 'hòa', 'phú yên', 'chả', 'nhận', 'luôn']",7
ghê quá mới hóng được ảnh clip mới nhất trên hóng hớt mỗi ngày,Fear,"['ghê', 'mới', 'hóng', 'ảnh', 'clip', 'mới', 'nhất', 'trên', 'hóng', 'hớt', 'mỗi', 'ngày']",12
nuôi này khỏi nuôi chó hề_hài đồng_ý,Disgust,"['nuôi', 'khỏi', 'nuôi', 'chó', 'hề_hài', 'đồng_ý']",6
4 chân mà cỡ đó 2 chân cỡ nào,Surprise,"['4', 'chân', 'cỡ', '2', 'chân', 'cỡ', 'nào']",7
tag vô cho xem mấy đứa xấu tánh thôi chứ ghệ anh tánh cực kỳ dt,Enjoyment,"['tag', 'vô', 'xem', 'mấy', 'đứa', 'xấu', 'tánh', 'chứ', 'ghệ', 'anh', 'tánh', 'cực kỳ', 'dt']",13
per đừng ảo tưởng nhé,Disgust,"['per', 'đừng', 'ảo tưởng', 'nhé']",4
cái này nó giống câu em ăn cơm chưa vãi,Surprise,"['cái', 'nó', 'giống', 'câu', 'em', 'ăn', 'cơm', 'chưa', 'vãi']",9
"gắng , nhanh khỏi bệnh rồi về bên anh",Enjoyment,"['gắng', 'nhanh', 'khỏi', 'bệnh', 'về', 'bên', 'anh']",7
"khi bạn làm con b sẽ khóc , nhưng khi bạn đã làm cha mẹ bạn sẽ thấy đau lòng .",Sadness,"['bạn', 'làm', 'con', 'b', 'khóc', 'nhưng', 'bạn', 'làm', 'cha mẹ', 'bạn', 'thấy', 'đau lòng']",12
đúng là không có nhân tính,Disgust,"['đúng', 'không', 'nhân tính']",3
khùng hả trời,Surprise,"['khùng', 'hả', 'trời']",3
trời ơi cầm điện thoại đọc tin mà run tay luôn khổ quá,Sadness,"['trời', 'ơi', 'cầm', 'điện thoại', 'đọc', 'tin', 'run tay', 'luôn', 'khổ']",9
thề cưng thiệc sự cười,Enjoyment,"['thề', 'cưng thiệc', 'sự', 'cười']",4
sao mày không nghĩ lại thêm 1 thừng bị noá xẻ thịt điên_rồ,Other,"['sao', 'mày', 'không', 'nghĩ lại', 'thêm', '1', 'thừng', 'noá xẻ', 'thịt', 'điên_rồ']",10
"per nhớ ngày xưa gần nhà mày có đàn ngỗng , tụi khốn nạn đó toàn đi dàn hàng ngang chắn hết đường hết lối , mỗi lần tao đạp xe qua là rượt tao gần chết đùa ám ảnh vãi",Fear,"['per', 'nhớ', 'ngày xưa', 'gần', 'nhà', 'mày', 'đàn', 'ngỗng', 'tụi', 'khốn nạn', 'toàn', 'dàn', 'hàng', 'ngang', 'chắn', 'hết', 'đường', 'hết', 'lối', 'mỗi', 'lần', 'tao', 'đạp', 'xe', 'qua', 'rượt', 'tao', 'gần', 'chết', 'đùa', 'ám ảnh', 'vãi']",32
bài lồn đó nghe hãm vãi đéo hiểu sao lại thích,Disgust,"['bài', 'lồn', 'nghe', 'hãm', 'vãi', 'đéo', 'hiểu', 'sao', 'thích']",9
bố mẹ ten vãi,Enjoyment,"['bố mẹ', 'ten', 'vãi']",3
"là thằng đàn ông phải có bản lĩnh từ khi còn bé , thay vì hay bắt nạt , quát tháo đàn bà thì hãy là người che chở , yêu thương ! mong con zai của mẹ sau này cũng như mấy anh này . !",Enjoyment,"['thằng', 'đàn ông', 'phải', 'bản lĩnh', 'từ', 'còn', 'bé', 'thay vì', 'hay', 'bắt nạt', 'quát tháo', 'đàn bà', 'hãy', 'người', 'che chở', 'yêu thương', '! mong', 'con', 'zai', 'mẹ', 'sau này', 'cũng', 'mấy', 'anh', '!']",25
đọc bình luận cười ẻ,Enjoyment,"['đọc', 'bình luận', 'cười', 'ẻ']",4
"không nghe lời cha mẹ , không ăn học , giờ đi hốt rác . không có giá trị trong xã hội , bày đặt chữi ai .",Disgust,"['không', 'nghe', 'lời', 'cha mẹ', 'không', 'ăn học', 'giờ', 'hốt', 'rác', 'không', 'giá trị', 'xã hội', 'bày', 'đặt', 'chữi', 'ai']",16
per nuôi đi anh còn kịp chả già mất cười_chảy_nước_mắt,Enjoyment,"['per', 'nuôi', 'anh', 'còn', 'kịp', 'chả', 'già', 'mất', 'cười_chảy_nước_mắt']",9
ấm hơn cả người yêu cười,Enjoyment,"['ấm', 'hơn', 'cả', 'người yêu', 'cười']",5
"đừng tin vào lời ong bướm , đó là hố sâu , là cạm bẫy tình yêu cười",Fear,"['đừng', 'tin', 'vào', 'lời', 'ong bướm', 'hố', 'sâu', 'cạm', 'bẫy', 'tình yêu', 'cười']",11
rồi nhận ra chỉ mình là cảm thấy như thế thôi hả buồn,Sadness,"['nhận', 'chỉ', 'mình', 'cảm thấy', 'như thế', 'hả', 'buồn']",7
ngáo cỏ này đáng yêu nhỉ,Enjoyment,"['ngáo', 'cỏ', 'đáng', 'yêu', 'nhỉ']",5
"người_ta có câu nhất cự li nhì tốc độ , mày phải ghi xát dô , ghi nhanh nhanh nữa , .",Other,"['người_ta', 'câu', 'nhất cự', 'li nhì', 'tốc độ', 'mày', 'phải', 'ghi xát', 'dô', 'ghi', 'nhanh', 'nhanh']",12
hú hồn,Surprise,"['hú', 'hồn']",2
thoáng chốc thành đống sắt vụn,Other,"['thoáng chốc', 'thành', 'đống', 'sắt', 'vụn']",5
"chị thích con gái mạnh mẽ , cá tính .",Enjoyment,"['chị', 'thích', 'con', 'gái', 'mạnh mẽ', 'cá tính']",6
không sao đâu cười bệnh này lây qua đường tình bạn,Other,"['không', 'sao', 'đâu', 'cười', 'bệnh', 'lây', 'qua', 'đường', 'tình', 'bạn']",10
thương chị quá mong chị siêu thoát,Sadness,"['thương', 'chị', 'mong', 'chị', 'siêu thoát']",5
đỗ chỗ này hay bị mưa gạch lắm,Other,"['đỗ', 'chỗ', 'hay', 'mưa', 'gạch', 'lắm']",6
haha cứ lên xuống thấp thỏm kìa .,Enjoyment,"['haha', 'cứ', 'lên xuống', 'thấp thỏm', 'kìa']",5
những thằng vừa kém vừa hèn vẫn to mồm gia trưởng,Anger,"['thằng', 'vừa', 'kém', 'vừa', 'hèn', 'vẫn', 'to mồm', 'gia trưởng']",8
"khoảnh khắc anh quay mặt đi , con tim em tan nát vãi ra",Sadness,"['khoảnh khắc', 'anh', 'quay', 'mặt', 'con', 'tim', 'em', 'tan nát', 'vãi']",9
trời ơi ai nuôi chó mà để nó tội thế kia . đéo có trách nhiệm,Disgust,"['trời', 'ơi', 'ai', 'nuôi', 'chó', 'để', 'nó', 'tội', 'thế', 'đéo', 'trách nhiệm']",11
tôi là tôi đi ngủ cười_lăn_lộn_trên_sàn,Other,"['tôi', 'tôi', 'ngủ', 'cười_lăn_lộn_trên_sàn']",4
thằng ben thật tội nghiệp,Sadness,"['thằng', 'ben', 'tội nghiệp']",3
đem hủy mẹ đi . đấu giá cái quần què gì xong thằng mua lại nó hứng nó cho cả thế giới dính vr con_mẹ_nó_luôn .,Anger,"['đem', 'hủy', 'mẹ', 'đấu giá', 'cái', 'quần què', 'gì', 'xong', 'thằng', 'mua', 'nó', 'hứng', 'nó', 'cả', 'thế giới', 'dính', 'vr', 'con_mẹ_nó_luôn']",18
nhiều khi cũng muốn người yêu chọc để dỗi phát cho bằng người ta . mà nhận ra mình làm gì có người yêu hài_lòng,Sadness,"['nhiều', 'cũng', 'muốn', 'người yêu', 'chọc', 'để', 'dỗi phát', 'bằng', 'người', 'ta', 'nhận', 'mình', 'làm gì', 'người yêu', 'hài_lòng']",15
mình thì tự nhiên như nhà mình ý cười_chảy_nước_mắt,Enjoyment,"['mình', 'tự nhiên', 'nhà', 'mình', 'ý', 'cười_chảy_nước_mắt']",6
"đưa lên để nhận đồng cảm à ? họ sai họ chịu phạt , còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi .",Disgust,"['đưa', 'lên', 'để', 'nhận', 'đồng cảm', 'à', '?', 'họ', 'sai', 'họ', 'chịu', 'phạt', 'còn', 'người', 'ta', 'đỗ', 'xe', 'như thế', 'bạn', 'chả', 'quyền', 'gì', 'đuổi', 'người', 'ta', 'cả', 'bỏ', 'dần', 'tư tưởng', 'đường', 'trước', 'cửa', 'nhà', 'ta', 'ta']",35
và đéo tin được đứa nào,Disgust,"['đéo', 'tin', 'đứa', 'nào']",4
kĩ sư công trình vô đi kìa,Other,"['kĩ sư', 'công trình', 'vô', 'kìa']",4
vũ khí sinh học này mạnh thật !,Surprise,"['vũ khí sinh học', 'mạnh', '!']",3
